date,time,name,flyer,url,host,city,region,source,style,labels
2026-01-02,15:00,Spezial Workshops in Luzern,https://www2.salsa.ch/images/m/96/96a39a3475bee051765baa4905e90a5c137aca9e893a3fd4e2dc75ce817bab32.jpg,https://www.latino.ch/events/spezial-workshops-in-luzern-2026-01-02-salsa-y-mas-tanzstudio-6010-kriens,Salsa y mas Tanzstudio,6010 Kriens,Zentral Schweiz,latino.ch,S,kurs
2026-01-02,16:00,FIESTA LATINA,https://www2.salsa.ch/images/m/a9/a98ec4e2f2a2e9ca1bd7705833eca5ca6533780a921f0c2d38776ed4b4b64eed.jpg,https://www.latino.ch/events/fiesta-latina-2026-01-02-scuntrada-7078-vaz-slash-obervaz,SCUNTRADA,7078 Vaz/ Obervaz,Ost Schweiz,latino.ch,,party|urlaub
2026-01-02,19:00,Lucerne Flow Sensation - Bachata & Salsa Festival (3rd Edition),https://www2.salsa.ch/images/m/38/382976e0ff346c8ec75548ef44e0485c200582243f85f19a497c5cdc4d1cc620.jpg,https://www.latino.ch/events/lucerne-flow-sensation-bachata-und-salsa-festival-3rd-edition-2026-01-02-vegas-dance-club-6010-kriens,VEGAS Dance Club,6010 Kriens,Zentral Schweiz,latino.ch,B|S,kurs|party|show
2026-01-02,19:00,Salsa Kurs,https://www2.salsa.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/events/salsa-kurs-2026-01-02-ritmo-latino-wohlen,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,S,kurs
2026-01-02,21:00,FridayNight @ Bananenreiferei,https://www2.salsa.ch/images/m/13/13e85e36a33e39d7953e0488a78b18ff9b9dfc7c706e436636f150e123d3b37c.jpg,https://www.latino.ch/events/fridaynight-um-bananenreiferei-2026-01-02-salsarica-the-party-factory-8005-zuerich,Salsarica - The Party Factory,8005 Zürich,Region Zürich,latino.ch,B|K|S,party
2026-01-02,21:00,New Years Special: Danceflow Night by Salsaflow DC - Salsa & Bachata Floor,https://www2.salsa.ch/images/m/db/db7452fbcd5305f5a5049896c436ece8f1724bd35b0355b76132c32e609a3f31.jpg,https://www.latino.ch/events/new-years-special-danceflow-night-by-salsaflow-dc-salsa-and-bachata-floor-2026-01-02-salsaflow-dc-4051-basel,Salsaflow DC,4051 Basel,Region Basel,latino.ch,B|S,
2026-01-02,21:00,Noche Latina - Salsa y Bachata im El Correo Chur,https://www2.salsa.ch/images/m/5c/5c36b41821461a4d49295cb50932edb9c250c7a5aea90374993a8d790798a00e.jpg,https://www.latino.ch/events/noche-latina-salsa-y-bachata-im-el-correo-chur-2026-01-02-el-correo-7000-chur,El Correo,7000 Chur,Ost Schweiz,latino.ch,B|S,
2026-01-02,21:00,🗽:: M A M B O :: One Night in New York by DJ Pepe,https://www2.salsa.ch/images/m/c2/c26deb4e63b9897e7acff3c3166e78d57d237fbf65dc20f912d9cd5c48086b2d.jpg,https://www.latino.ch/events/m-a-m-b-o-one-night-in-new-york-by-dj-pepe-2026-01-02-club-el-social-im-viadukt-10-zuerich-switzerland,Club el Social im Viadukt 10,"Zürich, Switzerland",Region Zürich,latino.ch,S,
2026-01-02,22:30,Latín Hits Party 🔥,https://www2.salsa.ch/images/m/af/af818946bd51147e40fad6925aa962a0f67b0cb4d8371d2c1ff6ff1c5a47846e.jpg,https://www.latino.ch/events/latin-hits-party-2026-01-02-cuba-bar-bern-bern-be,CUBA BAR BERN,Bern BE,Region Bern,latino.ch,B|K|S,
2026-01-03,13:00,Lucerne Flow Sensation - Bachata & Salsa Festival (3rd Edition),https://www2.salsa.ch/images/m/38/382976e0ff346c8ec75548ef44e0485c200582243f85f19a497c5cdc4d1cc620.jpg,https://www.latino.ch/events/lucerne-flow-sensation-bachata-und-salsa-festival-3rd-edition-2026-01-03-vegas-dance-club-6010-kriens,VEGAS Dance Club,6010 Kriens,Zentral Schweiz,latino.ch,B|S,kurs|party|show
2026-01-03,13:00,Salsa Cubana Einsteiger Workshop,https://www2.salsa.ch/images/m/91/9196d800f9101bdf43287cd1a6e5681f9abb6f3f078db97e6fe2e977bb0422eb.jpg,https://www.latino.ch/venues/salsarica-the-dance-factory-8005-zurich/events/2026-01-03,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,S,kurs
2026-01-03,14:00,Bachata Weekend 3. und 4. Januar 2026,https://www2.salsa.ch/images/m/46/46b1b3a3cf29362d7832f75bbfd68a1b781eeffde62ac8da60c95da739098175.jpg,https://www.latino.ch/events/bachata-weekend-3-und-4-januar-2026-2026-01-03-restaurant-lo-im-kreuz-8645-jona-sg,"Restaurant LO! im Kreuz,",8645 Jona SG,Ost Schweiz,latino.ch,B|S,
2026-01-03,14:00,KIT (Koordination - Isolation - Technik) Soloworkshop,https://www2.salsa.ch/images/m/91/9196d800f9101bdf43287cd1a6e5681f9abb6f3f078db97e6fe2e977bb0422eb.jpg,https://www.latino.ch/venues/salsarica-the-dance-factory-8005-zurich/events/2026-01-03,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,S,kurs
2026-01-03,15:00,Spezial Workshops in Luzern,https://www2.salsa.ch/images/m/d5/d5aa65ddd4d9f8d0bdbab3b6fd4c2b343bccb9bcde255e94386bb5ffa1d7ab8e.jpg,https://www.latino.ch/events/spezial-workshops-in-luzern-2026-01-03-salsa-y-mas-tanzstudio-6010-kriens,Salsa y mas Tanzstudio,6010 Kriens,Zentral Schweiz,latino.ch,B|K|S,kurs
2026-01-03,16:00,FIESTA LATINA,https://www2.salsa.ch/images/m/a9/a98ec4e2f2a2e9ca1bd7705833eca5ca6533780a921f0c2d38776ed4b4b64eed.jpg,https://www.latino.ch/events/fiesta-latina-2026-01-03-scuntrada-7078-vaz-slash-obervaz,SCUNTRADA,7078 Vaz/ Obervaz,Ost Schweiz,latino.ch,,party|urlaub
2026-01-03,16:00,Ladies Style Soloworkshop,https://www2.salsa.ch/images/m/91/9196d800f9101bdf43287cd1a6e5681f9abb6f3f078db97e6fe2e977bb0422eb.jpg,https://www.latino.ch/venues/salsarica-the-dance-factory-8005-zurich/events/2026-01-03,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,S,kurs
2026-01-03,19:00,Salsa Special - Lucerne Flow Sensation,https://www2.salsa.ch/images/m/28/286cb680513a2a93c590bdc08c6f35f820c6ffcaa73dfd7d4481dd7b50eacfed.jpg,https://www.latino.ch/events/salsa-special-lucerne-flow-sensation-2026-01-03-vegas-dance-club-6010-kriens,VEGAS Dance Club,6010 Kriens,Zentral Schweiz,latino.ch,B|S,kurs|party
2026-01-03,20:00,★ GRAN CARIBE ★ Welcome 2026 ★ WS Bachata mit VERO & BENI ★ Salsa & Bachata All Styles mit DJ THEO,https://www2.salsa.ch/images/m/ed/ed3e7cca38e6263d9765ce7166e025ad7017eda9b8bc73294ba36d70d9c40186.jpg,https://www.latino.ch/events/gran-caribe-welcome-2026-ws-bachata-mit-vero-und-beni-salsa-und-bachata-all-styles-mit-dj-theo-2026-01-03-grand-casino-luzern-ch-6006-luzern,Grand Casino Luzern,CH-6006 Luzern,Zentral Schweiz,latino.ch,B|S,kurs|party
2026-01-03,21:30,★ LA NOCHE DE CUBA ★ Sa 03. Januar 2026 First Party of the Year im AURA Club.,https://www2.salsa.ch/images/m/84/84a465590a68fa668d1489f5d8fd869489d758649ebd8273703b240885dc3198.jpg,https://www.latino.ch/events/la-noche-de-cuba-sa-03-januar-2026-first-party-of-the-year-im-aura-club-2026-01-03-aura-club-zurich-8001-zurich,AURA CLUB Zürich,8001 Zürich,Region Zürich,latino.ch,S,
2026-01-03,21:30,★☆★Fuego Latino★☆★,https://www2.salsa.ch/images/m/3e/3e4684d9f9de6646475bbd83a86e18a1bf5b1b81c3d36d6a72755936cbde0ff2.jpg,https://www.latino.ch/events/fuego-latino-2026-01-03-salle-la-grenette-fribourg-fr,Salle la Grenette,Fribourg FR,Region Bern,latino.ch,,
2026-01-04,13:00,Salsa Cubana Einsteiger Workshop,https://www2.salsa.ch/images/m/91/9196d800f9101bdf43287cd1a6e5681f9abb6f3f078db97e6fe2e977bb0422eb.jpg,https://www.latino.ch/venues/salsarica-the-dance-factory-8005-zurich/events/2026-01-04,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,S,kurs
2026-01-04,14:00,Lucerne Flow Sensation - Bachata & Salsa Festival (3rd Edition),https://www2.salsa.ch/images/m/38/382976e0ff346c8ec75548ef44e0485c200582243f85f19a497c5cdc4d1cc620.jpg,https://www.latino.ch/events/lucerne-flow-sensation-bachata-und-salsa-festival-3rd-edition-2026-01-04-vegas-dance-club-6010-kriens,VEGAS Dance Club,6010 Kriens,Zentral Schweiz,latino.ch,B|S,kurs|party|show
2026-01-04,16:00,Ladies Style Soloworkshop,https://www2.salsa.ch/images/m/91/9196d800f9101bdf43287cd1a6e5681f9abb6f3f078db97e6fe2e977bb0422eb.jpg,https://www.latino.ch/venues/salsarica-the-dance-factory-8005-zurich/events/2026-01-04,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,S,kurs
2026-01-04,17:00,CAPITAL Bachata x Kizomba,https://www2.salsa.ch/images/m/af/af9491e02b2064f119a966a58917f3e371e55bfd5f1250bf8594be2e21cfb391.jpg,https://www.latino.ch/events/capital-bachata-x-kizomba-2026-01-04-stellwerk-bern-3012-bern,Stellwerk Bern,3012 Bern,Region Bern,latino.ch,B|K,
2026-01-04,17:30,Mahogany Salsa,https://www2.salsa.ch/images/m/7c/7c2d732e51235b5d7d5f0e309c0e7174e14fb5f1cbd632b9c9d55cfc703d0acc.jpg,https://www.latino.ch/events/mahogany-salsa-2026-01-04-mahogany-hall-3013-bern,Mahogany Hall,3013 Bern,Region Bern,latino.ch,S,
2026-01-04,18:00,Jeden Sonntag > RITMO HABANA <> Salsa & Bachata mit DJ Theo in LUZERN,https://www2.salsa.ch/images/m/b0/b007b6623b753d4ecd8e9725094828ba1136cc7afb50e714528f29bb66615acc.jpg,https://www.latino.ch/events/jeden-sonntag-ritmo-habana-salsa-und-bachata-mit-dj-theo-in-luzern-2026-01-04-moderne-bar-und-karussell-ch-6003-luzern,MODERNE BAR & KARUSSELL,CH-6003 Luzern,Zentral Schweiz,latino.ch,B|S,kurs|party
2026-01-04,18:00,Salsa Anfänger Intensivkurs – 5 Tage,https://www2.salsa.ch/images/m/22/22b630e696f6e201322f1e54ac9b9c5152cd8edb28885d2a2b7210d3e96b3708.jpg,https://www.latino.ch/venues/kc-dance-studio-4051-basel/events/2026-01-04,KC dance studio,4051 Basel,Region Basel,latino.ch,B|S,kurs
2026-01-04,19:00,SALSA . BACHATA . KIZOMBA,https://www2.salsa.ch/images/m/ed/ed79afe4d7b755a167107a8c8d486d5c2571f80f9f16d6f49bc570176b63e0f7.jpg,https://www.latino.ch/events/salsa-bachata-kizomba-2026-01-04-stadt-cafe-solothurn,STADT CAFE,Solothurn,Region Solothurn & Aarau,latino.ch,B|K|S,party
2026-01-04,19:00,Salsa Kurs,https://www2.salsa.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/events/salsa-kurs-2026-01-04-ritmo-latino-aarau,Ritmo Latino,Aarau,Region Solothurn & Aarau,latino.ch,S,kurs
2026-01-04,20:00,Bachata Anfänger Intensivkurs – 5 Tage,https://www2.salsa.ch/images/m/22/22b630e696f6e201322f1e54ac9b9c5152cd8edb28885d2a2b7210d3e96b3708.jpg,https://www.latino.ch/venues/kc-dance-studio-4051-basel/events/2026-01-04,KC dance studio,4051 Basel,Region Basel,latino.ch,B|S,kurs
2026-01-05,18:00,Ladies Style Salsa & Bachata,https://www2.salsa.ch/images/m/ed/ed79bf4e393cafac1f762eb764f876fb74a7bf0cfca8ced5d39f519b27d62e31.jpg,https://www.latino.ch/events/ladies-style-salsa-und-bachata-2026-01-05-salsarica-the-dance-factory-8005-zuerich,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,B|S,kurs
