date,time,name,flyer,url,host,city,region,source,labels
2026-07-23,21:00,Salsa Puerto Anfänger Workshop,https://www.latino.ch/images/m/c1/c1d727936e56168161ba07805059d9518b880f80d8d9e004f64bd81db74317fa.jpg,https://www.latino.ch/venues/54493156766972563b070000/events/2026-07-23,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,kurs
2026-07-23,21:00,SBK im Kulturbistro,https://www.latino.ch/images/m/7b/7b8233a22fe9e2c1e34281e0a7ae8c0c31b107f283badc028adce40af630fdf3.jpg,https://www.latino.ch/events/sbk-im-kulturbistro-2026-07-23-kulturbistro-karl-schenk-bern-switzerland,KulturBistro - Karl Schenk,"Bern, Switzerland",Region Bern,latino.ch,
2026-07-24,18:00,Salsa & Bachata Beginner 5-day Summer Intensive,https://www.latino.ch/images/m/9f/9fc92fe6fb75423a6e3911985a34d4bca8d44b7656f1a975dd05b48adb484242.jpg,https://www.latino.ch/events/salsa-und-bachata-beginner-5-day-summer-intensive-2026-07-24-kc-dance-studio-4051-basel,KC dance studio,4051 Basel,Region Basel,latino.ch,kurs
2026-07-24,19:00,Arena Salsa Open Air Party,https://www.latino.ch/images/m/02/02e265ab5d732eb10b6427736aca85793ab5e100706596b662bb80dfd12bf928.jpg,https://www.latino.ch/events/arena-salsa-open-air-party-2026-07-24-tc-cis-solothurn-4503-solothurn,TC CIS SOLOTHURN,4503 Solothurn,Region Solothurn & Aarau,latino.ch,party
2026-07-24,19:00,Salsa Cubana Einsteiger Intensiv-Workshop,https://www.latino.ch/images/m/c1/c1d727936e56168161ba07805059d9518b880f80d8d9e004f64bd81db74317fa.jpg,https://www.latino.ch/venues/54493156766972563b070000/events/2026-07-24,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,kurs
2026-07-24,21:00,FridayNight @ Bananenreiferei,https://www.latino.ch/images/m/13/13e85e36a33e39d7953e0488a78b18ff9b9dfc7c706e436636f150e123d3b37c.jpg,https://www.latino.ch/events/fridaynight-um-bananenreiferei-2026-07-24-salsarica-the-party-factory-8005-zuerich,Salsarica - The Party Factory,8005 Zürich,Region Zürich,latino.ch,party
2026-07-24,21:00,Kizomba Anfänger Workshop,https://www.latino.ch/images/m/c1/c1d727936e56168161ba07805059d9518b880f80d8d9e004f64bd81db74317fa.jpg,https://www.latino.ch/venues/54493156766972563b070000/events/2026-07-24,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,kurs
2026-07-24,21:00,Salsa Puerto Anfänger Workshop,https://www.latino.ch/images/m/c1/c1d727936e56168161ba07805059d9518b880f80d8d9e004f64bd81db74317fa.jpg,https://www.latino.ch/venues/54493156766972563b070000/events/2026-07-24,SalsaRica - The Dance Factory,8005 Zürich,Region Zürich,latino.ch,kurs
2026-07-25,17:00,"Jardin Sabor Latino, Salsa-Bachta Open Air in Katharinas Garten",https://www.latino.ch/images/m/b3/b37c71cf87bd0d0057a2c095e5f50b0925f403cf477462add4fd6874a1982dee.jpg,https://www.latino.ch/events/jardin-sabor-latino-salsa-bachta-open-air-in-katharinas-garten-2026-07-25-katharinas-garten-8400-winterthur,Katharinas Garten,8400 Winterthur,Region Zürich,latino.ch,openair
2026-07-25,18:00,3rd Anniversary Celebration - KC dance studio Basel,https://www.latino.ch/images/m/c1/c1fa7e1109c9ff7bbd98e00046325d24d3284f53c3f725b226b6563378abdee8.jpg,https://www.latino.ch/events/3rd-anniversary-celebration-kc-dance-studio-basel-2026-07-25-kc-dance-studio-4051-basel,KC dance studio,4051 Basel,Region Basel,latino.ch,
2026-07-25,18:00,Openair Salsa Biel-Bienne,https://www.latino.ch/images/m/0e/0e4b08a9c8a6299be6700f1cf23d7299d3508d7abab3571a9aa2f9f4a1319118.jpg,https://www.latino.ch/events/openair-salsa-biel-bienne-2026-07-25-stadtpark-biel-2502-biel,Stadtpark Biel,2502 Biel,Region Bern,latino.ch,party
2026-07-25,21:30,★ LA NOCHE DE CUBA ★ Welcome 2026 Bananenreiferei by Juanes,https://www.latino.ch/images/m/c6/c6e6008bb344dad6e99d87623f724164a901e81ed5c629518b2e95fdb4f6b2eb.jpg,https://www.latino.ch/events/la-noche-de-cuba-welcome-2026-bananenreiferei-by-juanes-2026-07-25-bananenreiferei-zurich-switzerland,Bananenreiferei,"Zürich, Switzerland",Region Zürich,latino.ch,
2026-07-26,18:00,Salsa y Pasion,https://www.latino.ch/images/m/95/954f3a6fe7d536741b673171ea423f0cb6d9beb17772527c1a10e89402d77d63.jpg,https://www.latino.ch/events/salsa-y-pasion-2026-07-26-blue-turtle-beach-3705-faulensee,Blue Turtle Beach,3705 Faulensee,Region Bern,latino.ch,live-musik|party|show
2026-07-26,19:00,Jeden Sonntag ★ WELCOME TO THE SUNNY SIDE​ ★ SALSA & BACHATA SUNSET DANCE Party mit DJ Theo,https://www.latino.ch/images/m/d2/d2c69d2e629980caeb08ce6a2a8c8c38ea4be9da658d04ebaf22197f3a29fa11.jpg,https://www.latino.ch/events/jeden-sonntag-welcome-to-the-sunny-side-salsa-und-bachata-sunset-dance-party-mit-dj-theo-2026-07-26-strandbad-lido-6006-luzern,Strandbad Lido,6006 Luzern,Zentral Schweiz,latino.ch,openair|party
2026-07-27,19:00,Salsa Kurs,https://www.latino.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/672b796ecd590400010ad46d/events/2026-07-27,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,kurs
2026-07-27,19:20,BACHATA FUSION 2 (Fortgeschrittene),https://www.latino.ch/images/m/0a/0a45f8eb26ee755194e69dde824a3d1cf53aaa425b2fe5d87df146d8d6924a54.jpg,https://www.latino.ch/events/bachata-fusion-2-fortgeschrittene-2026-07-27-dance-spot-zurich-tanzschule-8152-opfikon,DANCE SPOT ZURICH Tanzschule,8152 Opfikon,Region Zürich,latino.ch,kurs
2026-07-27,19:30,Lounge@Bananenreiferei,https://www.latino.ch/images/m/3e/3e507bd053fc83ae81824e1a343d2e1d0c7f94091300f7176048e83c0ac24a75.jpg,https://www.latino.ch/events/lounge-um-bananenreiferei-2026-07-27-salsarica-the-party-factory-8005-zuerich,Salsarica - The Party Factory,8005 Zürich,Region Zürich,latino.ch,party
2026-07-27,20:30,Bachata Kurs,https://www.latino.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/672b796ecd590400010ad46d/events/2026-07-27,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,kurs
2026-07-28,19:00,Bachata Kurs,https://www.latino.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/672b796ecd590400010ad46d/events/2026-07-28,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,kurs
2026-07-28,20:30,Pura Bachata Sensual,https://www.latino.ch/images/m/1a/1abd27f404ec6d3fdb6ce33b3533acf47a1cb19a73ad272b1653401214f17158.jpg,https://www.latino.ch/events/pura-bachata-sensual-2026-07-28-kulturbistro-karl-schenk-bern-switzerland,KulturBistro - Karl Schenk,"Bern, Switzerland",Region Bern,latino.ch,
2026-07-28,20:30,Salsa Kurs,https://www.latino.ch/images/m/04/0460520dd64ba7d8efd43d77cb6d9795838b3bdbd7634d0d210c50e0e9350bce.jpg,https://www.latino.ch/venues/672b796ecd590400010ad46d/events/2026-07-28,Ritmo Latino,Wohlen,Region Solothurn & Aarau,latino.ch,kurs
2026-07-29,18:30,Salsa Styling – Sommerkurs,https://www.latino.ch/images/m/75/75f49926f816dca3265b26d66aceb0745cadd6aee26b8cc2e50843bc5f10d187.jpg,https://www.latino.ch/events/salsa-styling-sommerkurs-2026-07-29-tanzschule-danzarte-3018-bern,Tanzschule Danzarte,3018 Bern,Region Bern,latino.ch,kurs
