date,time,name,flyer,url,host,city,region,source,labels
2026-09-27,16:00,Bachata Day Party mit Alini und Salem,https://bachata-bern.ch/wp-content/uploads/2026/05/September-2026-1.png,https://bachata-bern.ch/event/bachata-day-party-mit-alini-und-salem/,Bachata Day Bern,3005 Bern,Region Bern,bachata-bern.ch,
2026-10-25,16:00,Bachata Day Party mit Kessy und Mark,https://bachata-bern.ch/wp-content/uploads/2026/08/Oktober-2026-1-1.png,https://bachata-bern.ch/event/bachata-day-party-mit-kessy-und-mark/,Bachata Day Bern,3005 Bern,Region Bern,bachata-bern.ch,bachata|bachata bern|bachata day party|bachata event bern|latin dance|party
2026-11-29,16:00,Bachata Day Party Bern mit Julia und Till,https://bachata-bern.ch/wp-content/uploads/2026/05/November-2026-1.png,https://bachata-bern.ch/event/bachata-day-party-bern-mit-julia-und-till/,Bachata Day Bern,3005 Bern,Region Bern,bachata-bern.ch,bachata bern|party|workshop
